x,rad,cos,sin
165,2.8798,-0.965925826,0.258819045
166,2.8972,-0.970295726,0.241921896
167,2.9147,-0.974370065,0.224951054
168,2.9322,-0.978147601,0.207911691
169,2.9496,-0.981627183,0.190808995
170,2.9671,-0.984807753,0.173648178
171,2.9845,-0.987688341,0.156434465
172,3.0020,-0.990268069,0.139173101
173,3.0194,-0.992546152,0.121869343
174,3.0369,-0.994521895,0.104528463
175,3.0543,-0.996194698,0.087155743
176,3.0718,-0.99756405,0.069756474
177,3.0892,-0.998629535,0.052335956
178,3.1067,-0.999390827,0.034899497
179,3.1241,-0.999847695,0.017452406
180,3.1416,-1,0
